File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16989.java.tokens,0.8245614035087719,115,39
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16986.java.tokens,0.79328165374677,368,130
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16996.java.tokens,0.7394179894179894,336,121
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/rules/17002.java.tokens,0.7604166666666666,91,33
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/rules/17001.java.tokens,0.655041441864102,1248,407
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/runners/16994.java.tokens,0.7253086419753086,166,55
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16966.java.tokens,0.6030744336569579,313,104
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16969.java.tokens,0.5449275362318841,71,24
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/16959.java.tokens,0.6276315789473684,221,77
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/requests/16985.java.tokens,1.0,9,4
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/requests/16983.java.tokens,0.7252604166666666,170,65
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/requests/16982.java.tokens,0.6682692307692307,165,53
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/internal/requests/16984.java.tokens,0.739423076923077,131,53
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16924.java.tokens,0.75,78,34
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16919.java.tokens,0.686292270531401,123,47
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16916.java.tokens,0.85,58,26
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/17058.java.tokens,0.6008102878832693,1758,645
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/17057.java.tokens,0.5153916596224288,913,339
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/17055.java.tokens,0.8214285714285714,44,15
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/17053.java.tokens,0.8571428571428571,43,15
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/parameterized/17075.java.tokens,0.7777777777777778,43,19
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/parameterized/17073.java.tokens,0.5945623133741945,934,304
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/parameterized/17074.java.tokens,0.8095238095238095,54,22
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/parameterized/17076.java.tokens,0.6857536402990949,355,122
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/17072.java.tokens,1.0,7,3
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17061.java.tokens,0.6743568691844554,259,88
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17071.java.tokens,0.7138888888888889,108,37
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17063.java.tokens,0.6948957016434892,737,227
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17065.java.tokens,0.7304216867469879,250,84
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17067.java.tokens,0.5874270790937457,366,118
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17068.java.tokens,0.6,26,11
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17064.java.tokens,0.8378378378378378,111,38
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17069.java.tokens,0.8571428571428571,24,8
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17066.java.tokens,0.6815245478036176,343,130
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runners/model/17070.java.tokens,0.5935194214204452,1760,587
