File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16464.java.tokens,0.8222222222222223,16,16
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16498.java.tokens,0.9210526315789473,20,20
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16497.java.tokens,0.90625,17,17
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16495.java.tokens,0.875,21,21
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16500.java.tokens,0.8529411764705882,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16509.java.tokens,1.0,5,5
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16493.java.tokens,0.7435897435897435,27,27
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/internal/16502.java.tokens,0.7355112587670727,87,87
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/internal/16504.java.tokens,0.8181818181818182,56,56
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/internal/16506.java.tokens,0.8669467787114845,35,35
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/internal/16505.java.tokens,0.7905982905982906,40,40
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/internal/16507.java.tokens,0.8861788617886179,42,42
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/internal/16508.java.tokens,0.9074074074074074,28,28
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/internal/16503.java.tokens,0.868421052631579,39,39
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16492.java.tokens,0.7246376811594203,24,24
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16496.java.tokens,0.875,17,17
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16499.java.tokens,0.8529411764705882,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16501.java.tokens,0.8529411764705882,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/test/16494.java.tokens,0.8529411764705882,18,18
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16476.java.tokens,1.0,4,4
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/events/16466.java.tokens,0.7333333333333333,11,11
